DORCode,LEACode,Municipality,County,CherrySheetFY,Population,DORIncome,DORIncomePerCapita,EQV,EQVPerCapita
001,1,Abington,PLYMOUTH,2023,"17,062","645,765,000","37,848","2,379,458,500","139,460"
002,2,Acton,MIDDLESEX,2023,"24,021","1,733,168,000","72,152","4,940,912,200","205,691"
003,3,Acushnet,BRISTOL,2023,"10,559","376,411,000","35,648","1,346,443,900","127,516"
004,4,Adams,BERKSHIRE,2023,"8,166","191,139,000","23,407","549,332,800","67,271"
005,5,Agawam,HAMPDEN,2023,"28,692","893,064,000","31,126","3,286,756,800","114,553"
006,6,Alford,BERKSHIRE,2023,486,"16,412,000","33,770","279,886,100","575,897"
007,7,Amesbury,ESSEX,2023,"17,366","714,427,000","41,139","2,652,855,600","152,761"
008,8,Amherst,HAMPSHIRE,2023,"39,263","763,306,000","19,441","2,727,618,700","69,470"
009,9,Andover,ESSEX,2023,"36,569","3,191,831,000","87,282","9,328,654,100","255,097"
010,10,Arlington,MIDDLESEX,2023,"46,308","3,052,960,000","65,927","12,795,048,700","276,303"
011,11,Ashburnham,WORCESTER,2023,"6,315","228,935,000","36,253","795,346,900","125,946"
012,12,Ashby,MIDDLESEX,2023,"3,193","123,259,000","38,603","366,133,300","114,667"
013,13,Ashfield,FRANKLIN,2023,"1,695","47,892,000","28,255","271,206,700","160,004"
014,14,Ashland,MIDDLESEX,2023,"18,832","1,000,740,000","53,140","3,214,888,000","170,714"
015,15,Athol,WORCESTER,2023,"11,945","263,264,000","22,040","880,913,600","73,747"
016,16,Attleboro,BRISTOL,2023,"46,461","1,606,767,000","34,583","5,286,614,900","113,786"
017,17,Auburn,WORCESTER,2023,"16,889","651,647,000","38,584","2,423,368,200","143,488"
018,18,Avon,NORFOLK,2023,"4,777","174,641,000","36,559","912,879,000","191,099"
019,19,Ayer,MIDDLESEX,2023,"8,479","316,196,000","37,292","1,414,841,800","166,864"
020,20,Barnstable,BARNSTABLE,2023,"48,916","2,008,186,000","41,054","16,031,008,100","327,725"
021,21,Barre,WORCESTER,2023,"5,530","155,707,000","28,157","507,030,500","91,687"
022,22,Becket,BERKSHIRE,2023,"1,931","56,000,000","29,001","558,339,300","289,145"
023,23,Bedford,MIDDLESEX,2023,"14,383","1,093,494,000","76,027","4,399,434,500","305,877"
024,24,Belchertown,HAMPSHIRE,2023,"15,350","565,700,000","36,853","1,706,796,100","111,192"
025,25,Bellingham,NORFOLK,2023,"16,945","650,983,000","38,417","2,853,759,500","168,413"
026,26,Belmont,MIDDLESEX,2023,"27,295","2,673,968,000","97,965","9,840,875,900","360,538"
027,27,Berkley,BRISTOL,2023,"6,764","283,733,000","41,948","971,888,500","143,685"
028,28,Berlin,WORCESTER,2023,"3,158","187,295,000","59,308","710,453,400","224,969"
029,29,Bernardston,FRANKLIN,2023,"2,102","66,410,000","31,594","248,325,200","118,138"
030,30,Beverly,ESSEX,2023,"42,670","2,147,810,000","50,335","7,994,706,700","187,361"
031,31,Billerica,MIDDLESEX,2023,"42,119","1,792,705,000","42,563","7,998,669,600","189,906"
032,32,Blackstone,WORCESTER,2023,"9,208","321,491,000","34,914","1,075,325,500","116,782"
033,33,Blandford,HAMPDEN,2023,"1,215","39,447,000","32,467","180,760,100","148,774"
034,34,Bolton,WORCESTER,2023,"5,665","452,935,000","79,953","1,191,544,800","210,334"
035,35,Boston,SUFFOLK,2023,"675,647","37,186,003,000","55,038","203,894,526,100","301,777"
036,36,Bourne,BARNSTABLE,2023,"20,452","819,472,000","40,068","5,178,654,100","253,210"
037,37,Boxborough,MIDDLESEX,2023,"5,506","364,645,000","66,227","1,245,735,100","226,250"
038,38,Boxford,ESSEX,2023,"8,203","907,352,000","110,612","2,027,205,500","247,130"
039,39,Boylston,WORCESTER,2023,"4,849","306,364,000","63,181","894,665,100","184,505"
040,40,Braintree,NORFOLK,2023,"39,143","1,741,785,000","44,498","8,213,296,300","209,828"
041,41,Brewster,BARNSTABLE,2023,"10,318","433,996,000","42,062","4,380,442,300","424,544"
042,42,Bridgewater,PLYMOUTH,2023,"28,633","977,567,000","34,141","3,400,108,700","118,748"
043,43,Brimfield,HAMPDEN,2023,"3,694","150,717,000","40,800","466,597,600","126,312"
044,44,Brockton,PLYMOUTH,2023,"105,643","2,294,511,000","21,719","8,886,561,300","84,119"
045,45,Brookfield,WORCESTER,2023,"3,439","102,428,000","29,784","312,533,400","90,879"
046,46,Brookline,NORFOLK,2023,"63,191","5,258,060,000","83,209","28,147,948,700","445,442"
047,47,Buckland,FRANKLIN,2023,"1,816","44,572,050","24,544","236,099,700","130,011"
048,48,Burlington,MIDDLESEX,2023,"26,377","1,423,904,000","53,983","8,100,649,200","307,110"
049,49,Cambridge,MIDDLESEX,2023,"118,403","8,626,740,000","72,859","63,505,735,500","536,352"
050,50,Canton,NORFOLK,2023,"24,370","1,466,824,000","60,190","5,664,784,600","232,449"
051,51,Carlisle,MIDDLESEX,2023,"5,237","696,005,000","132,901","1,657,167,300","316,434"
052,52,Carver,PLYMOUTH,2023,"11,645","414,530,000","35,597","1,542,843,600","132,490"
053,53,Charlemont,FRANKLIN,2023,"1,185","28,506,000","24,056","147,289,000","124,295"
054,54,Charlton,WORCESTER,2023,"13,315","544,329,000","40,881","1,794,497,600","134,773"
055,55,Chatham,BARNSTABLE,2023,"6,594","462,832,000","70,190","7,904,158,600","1,198,690"
056,56,Chelmsford,MIDDLESEX,2023,"36,392","2,065,597,000","56,760","6,551,073,600","180,014"
057,57,Chelsea,SUFFOLK,2023,"40,787","863,146,000","21,162","4,225,152,600","103,591"
058,58,Cheshire,BERKSHIRE,2023,"3,258","100,720,000","30,915","327,182,900","100,424"
059,59,Chester,HAMPDEN,2023,"1,228","31,514,000","25,663","129,904,800","105,786"
060,60,Chesterfield,HAMPSHIRE,2023,"1,186","37,028,000","31,221","165,075,500","139,187"
061,61,Chicopee,HAMPDEN,2023,"55,560","1,217,103,000","21,906","4,282,298,400","77,075"
062,62,Chilmark,DUKES,2023,"1,212","84,756,000","69,931","3,657,005,200","3,017,331"
063,63,Clarksburg,BERKSHIRE,2023,"1,657","42,428,000","25,605","133,566,700","80,608"
064,64,Clinton,WORCESTER,2023,"15,428","473,675,000","30,702","1,653,168,200","107,154"
065,65,Cohasset,NORFOLK,2023,"8,381","1,097,715,000","130,977","3,240,448,100","386,642"
066,66,Colrain,FRANKLIN,2023,"1,606","45,888,000","28,573","182,644,300","113,726"
067,67,Concord,MIDDLESEX,2023,"18,491","2,815,154,000","152,245","7,134,203,400","385,820"
068,68,Conway,FRANKLIN,2023,"1,761","65,789,000","37,359","272,849,200","154,940"
069,69,Cummington,HAMPSHIRE,2023,829,"25,931,000","31,280","136,764,000","164,975"
070,70,Dalton,BERKSHIRE,2023,"6,330","216,785,000","34,247","659,304,000","104,155"
071,71,Danvers,ESSEX,2023,"28,087","1,359,576,000","48,406","5,748,464,900","204,666"
072,72,Dartmouth,BRISTOL,2023,"33,783","1,413,488,000","41,840","6,198,070,600","183,467"
073,73,Dedham,NORFOLK,2023,"25,364","1,544,132,000","60,879","5,863,555,800","231,176"
074,74,Deerfield,FRANKLIN,2023,"5,090","236,065,000","46,378","808,941,100","158,928"
075,75,Dennis,BARNSTABLE,2023,"14,674","576,790,000","39,307","7,955,584,100","542,155"
076,76,Dighton,BRISTOL,2023,"8,101","302,643,000","37,359","1,162,938,400","143,555"
077,77,Douglas,WORCESTER,2023,"8,983","360,048,000","40,081","1,154,562,000","128,527"
078,78,Dover,NORFOLK,2023,"5,923","1,455,913,000","245,807","2,831,290,600","478,016"
079,79,Dracut,MIDDLESEX,2023,"32,617","1,183,256,000","36,277","4,153,988,500","127,357"
080,80,Dudley,WORCESTER,2023,"11,921","352,426,000","29,563","1,146,095,200","96,141"
081,81,Dunstable,MIDDLESEX,2023,"3,358","225,804,000","67,244","606,991,900","180,760"
082,82,Duxbury,PLYMOUTH,2023,"16,090","1,831,514,000","113,829","4,654,728,300","289,293"
083,83,East Bridgewater,PLYMOUTH,2023,"14,440","545,081,000","37,748","1,926,835,300","133,437"
084,84,East Brookfield,WORCESTER,2023,"2,224","77,494,000","34,844","278,867,500","125,390"
085,87,East Longmeadow,HAMPDEN,2023,"16,430","732,957,000","44,611","2,143,969,100","130,491"
086,85,Eastham,BARNSTABLE,2023,"5,752","217,839,000","37,872","3,250,149,400","565,047"
087,86,Easthampton,HAMPSHIRE,2023,"16,211","523,032,000","32,264","1,773,024,900","109,372"
088,88,Easton,BRISTOL,2023,"25,058","1,341,245,000","53,526","4,091,504,700","163,281"
089,89,Edgartown,DUKES,2023,"5,168","354,791,000","68,652","10,127,877,000","1,959,729"
090,90,Egremont,BERKSHIRE,2023,"1,372","39,762,000","28,981","461,457,900","336,340"
091,91,Erving,FRANKLIN,2023,"1,665","43,553,000","26,158","956,478,200","574,461"
092,92,Essex,ESSEX,2023,"3,675","258,565,000","70,358","944,642,600","257,046"
093,93,Everett,MIDDLESEX,2023,"49,075","1,119,184,000","22,806","7,029,819,300","143,246"
094,94,Fairhaven,BRISTOL,2023,"15,924","519,080,000","32,597","2,482,405,500","155,891"
095,95,Fall River,BRISTOL,2023,"94,000","1,754,923,000","18,669","6,253,556,700","66,527"
096,96,Falmouth,BARNSTABLE,2023,"32,517","1,530,740,000","47,075","13,186,717,700","405,533"
097,97,Fitchburg,WORCESTER,2023,"41,946","910,150,000","21,698","3,008,407,300","71,721"
098,98,Florida,BERKSHIRE,2023,694,"14,511,000","20,909","182,043,400","262,310"
099,99,Foxborough,NORFOLK,2023,"18,618","993,227,000","53,348","3,632,254,300","195,094"
100,100,Framingham,MIDDLESEX,2023,"72,362","2,776,859,000","38,375","11,101,738,800","153,419"
101,101,Franklin,NORFOLK,2023,"33,261","1,811,756,000","54,471","6,057,291,000","182,114"
102,102,Freetown,BRISTOL,2023,"9,206","364,015,000","39,541","1,612,258,700","175,131"
103,103,Gardner,WORCESTER,2023,"21,287","469,806,000","22,070","1,481,985,500","69,619"
104,104,Aquinnah,DUKES,2023,439,"12,927,000","29,446","810,687,000","1,846,667"
105,105,Georgetown,ESSEX,2023,"8,470","448,136,000","52,909","1,425,622,900","168,314"
106,106,Gill,FRANKLIN,2023,"1,551","39,605,000","25,535","173,933,200","112,143"
107,107,Gloucester,ESSEX,2023,"29,729","1,223,353,000","41,150","7,571,872,500","254,697"
108,108,Goshen,HAMPSHIRE,2023,960,"15,756,000","16,413","173,818,900","181,061"
109,109,Gosnold,DUKES,2023,70,"879,000","12,557","229,578,500","3,279,693"
110,110,Grafton,WORCESTER,2023,"19,664","1,013,829,000","51,558","2,853,771,800","145,127"
111,111,Granby,HAMPSHIRE,2023,"6,110","219,903,000","35,991","698,314,800","114,290"
112,112,Granville,HAMPDEN,2023,"1,538","55,406,000","36,025","210,428,400","136,820"
113,113,Great Barrington,BERKSHIRE,2023,"7,172","348,192,000","48,549","1,600,428,300","223,150"
114,114,Greenfield,FRANKLIN,2023,"17,768","418,675,000","23,563","1,635,101,600","92,025"
115,115,Groton,MIDDLESEX,2023,"11,315","780,657,000","68,993","2,033,204,400","179,691"
116,116,Groveland,ESSEX,2023,"6,752","294,671,000","43,642","1,116,385,500","165,341"
117,117,Hadley,HAMPSHIRE,2023,"5,325","189,557,000","35,598","1,106,994,300","207,886"
118,118,Halifax,PLYMOUTH,2023,"7,749","337,544,000","43,560","1,059,770,900","136,762"
119,119,Hamilton,ESSEX,2023,"7,561","602,577,000","79,695","1,756,199,200","232,271"
