ORG_CODE,District_Name,COUNTY,Grade,District_Total,Black,Asian,Hispanic,Multiracial,NativeAmerican,NativeHawaiianPacificIslander,White,Black%,Asian%,Hispanic%,Multiracial%,NativeAmerican%,NativeHawaiianPacificIslander%,White%
0001,Abington,Plymouth,Gr.1,157,9,5,9,1,3,0,130,5.73%,3.18%,5.73%,0.64%,1.91%,0.00%,82.80%
0001,Abington,Plymouth,Gr.2,145,10,3,10,1,2,0,119,6.90%,2.07%,6.90%,0.69%,1.38%,0.00%,82.07%
0001,Abington,Plymouth,Gr.3,165,6,2,21,0,0,1,135,3.64%,1.21%,12.73%,0.00%,0.00%,0.61%,81.82%
0001,Abington,Plymouth,Gr.4,136,7,5,11,3,0,0,110,5.15%,3.68%,8.09%,2.21%,0.00%,0.00%,80.88%
0001,Abington,Plymouth,Gr.5,167,5,5,16,3,0,0,138,2.99%,2.99%,9.58%,1.80%,0.00%,0.00%,82.63%
0001,Abington,Plymouth,Gr.6,172,6,4,20,3,2,0,137,3.49%,2.33%,11.63%,1.74%,1.16%,0.00%,79.65%
0001,Abington,Plymouth,Gr.7,164,3,4,12,5,1,0,139,1.83%,2.44%,7.32%,3.05%,0.61%,0.00%,84.76%
0001,Abington,Plymouth,Gr.8,187,6,3,14,0,0,0,164,3.21%,1.60%,7.49%,0.00%,0.00%,0.00%,87.70%
0001,Abington,Plymouth,Gr.9,160,7,6,20,2,0,0,125,4.38%,3.75%,12.50%,1.25%,0.00%,0.00%,78.13%
0001,Abington,Plymouth,Gr.10,156,10,4,12,3,0,0,127,6.41%,2.56%,7.69%,1.92%,0.00%,0.00%,81.41%
0001,Abington,Plymouth,Gr.11,154,8,3,15,1,0,0,127,5.19%,1.95%,9.74%,0.65%,0.00%,0.00%,82.47%
0001,Abington,Plymouth,Gr.12,117,3,4,6,2,0,0,102,2.56%,3.42%,5.13%,1.71%,0.00%,0.00%,87.18%
0001,Abington,Plymouth,SPED_Beyond_Grade_12,6,0,0,1,0,0,0,5,0.00%,0.00%,16.67%,0.00%,0.00%,0.00%,83.33%
0001,Abington,Plymouth,K,169,9,4,22,2,1,0,131,5.33%,2.37%,13.02%,1.18%,0.59%,0.00%,77.51%
0001,Abington,Plymouth,PK,88,9,4,7,0,0,0,68,10.23%,4.55%,7.95%,0.00%,0.00%,0.00%,77.27%
0003,Acushnet,Bristol,Gr.1,127,1,2,2,4,0,0,118,0.79%,1.57%,1.57%,3.15%,0.00%,0.00%,92.91%
0003,Acushnet,Bristol,Gr.2,109,4,1,5,3,0,0,96,3.67%,0.92%,4.59%,2.75%,0.00%,0.00%,88.07%
0003,Acushnet,Bristol,Gr.3,85,1,0,4,5,1,0,74,1.18%,0.00%,4.71%,5.88%,1.18%,0.00%,87.06%
0003,Acushnet,Bristol,Gr.4,111,0,1,4,7,0,0,99,0.00%,0.90%,3.60%,6.31%,0.00%,0.00%,89.19%
0003,Acushnet,Bristol,Gr.5,110,0,1,8,4,0,0,97,0.00%,0.91%,7.27%,3.64%,0.00%,0.00%,88.18%
0003,Acushnet,Bristol,Gr.6,101,1,1,2,0,0,0,97,0.99%,0.99%,1.98%,0.00%,0.00%,0.00%,96.04%
0003,Acushnet,Bristol,Gr.7,112,0,1,6,6,0,0,99,0.00%,0.89%,5.36%,5.36%,0.00%,0.00%,88.39%
0003,Acushnet,Bristol,Gr.8,120,2,1,2,3,0,0,112,1.67%,0.83%,1.67%,2.50%,0.00%,0.00%,93.33%
0003,Acushnet,Bristol,Gr.9,0,***,***,***,***,***,***,***,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0003,Acushnet,Bristol,Gr.10,0,***,***,***,***,***,***,***,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0003,Acushnet,Bristol,Gr.11,0,***,***,***,***,***,***,***,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0003,Acushnet,Bristol,Gr.12,0,***,***,***,***,***,***,***,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0003,Acushnet,Bristol,SPED_Beyond_Grade_12,0,***,***,***,***,***,***,***,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0003,Acushnet,Bristol,K,89,1,1,5,3,0,0,79,1.12%,1.12%,5.62%,3.37%,0.00%,0.00%,88.76%
0003,Acushnet,Bristol,PK,46,1,0,4,2,0,0,39,2.17%,0.00%,8.70%,4.35%,0.00%,0.00%,84.78%
0005,Agawam,Hampden,Gr.1,250,3,12,23,6,0,0,206,1.20%,4.80%,9.20%,2.40%,0.00%,0.00%,82.40%
0005,Agawam,Hampden,Gr.2,234,6,10,26,8,0,0,184,2.56%,4.27%,11.11%,3.42%,0.00%,0.00%,78.63%
0005,Agawam,Hampden,Gr.3,288,8,4,19,7,0,1,249,2.78%,1.39%,6.60%,2.43%,0.00%,0.35%,86.46%
0005,Agawam,Hampden,Gr.4,255,3,6,24,6,0,0,216,1.18%,2.35%,9.41%,2.35%,0.00%,0.00%,84.71%
0005,Agawam,Hampden,Gr.5,274,11,10,33,7,0,0,213,4.01%,3.65%,12.04%,2.55%,0.00%,0.00%,77.74%
0005,Agawam,Hampden,Gr.6,312,3,11,35,13,0,0,250,0.96%,3.53%,11.22%,4.17%,0.00%,0.00%,80.13%
0005,Agawam,Hampden,Gr.7,270,11,4,18,6,0,0,231,4.07%,1.48%,6.67%,2.22%,0.00%,0.00%,85.56%
0005,Agawam,Hampden,Gr.8,290,10,12,20,10,0,0,238,3.45%,4.14%,6.90%,3.45%,0.00%,0.00%,82.07%
0005,Agawam,Hampden,Gr.9,297,4,10,28,8,0,0,247,1.35%,3.37%,9.43%,2.69%,0.00%,0.00%,83.16%
0005,Agawam,Hampden,Gr.10,234,6,5,15,10,1,0,197,2.56%,2.14%,6.41%,4.27%,0.43%,0.00%,84.19%
0005,Agawam,Hampden,Gr.11,278,4,3,21,8,0,0,242,1.44%,1.08%,7.55%,2.88%,0.00%,0.00%,87.05%
0005,Agawam,Hampden,Gr.12,265,3,8,14,2,0,0,238,1.13%,3.02%,5.28%,0.75%,0.00%,0.00%,89.81%
0005,Agawam,Hampden,SPED_Beyond_Grade_12,0,***,***,***,***,***,***,***,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0005,Agawam,Hampden,K,263,3,15,30,13,0,0,202,1.14%,5.70%,11.41%,4.94%,0.00%,0.00%,76.81%
0005,Agawam,Hampden,PK,160,6,15,18,7,0,0,114,3.75%,9.38%,11.25%,4.38%,0.00%,0.00%,71.25%
0007,Amesbury,Essex,Gr.1,115,1,1,7,5,0,1,100,0.87%,0.87%,6.09%,4.35%,0.00%,0.87%,86.96%
0007,Amesbury,Essex,Gr.2,147,2,1,19,6,0,0,119,1.36%,0.68%,12.93%,4.08%,0.00%,0.00%,80.95%
0007,Amesbury,Essex,Gr.3,144,6,2,16,5,0,0,115,4.17%,1.39%,11.11%,3.47%,0.00%,0.00%,79.86%
0007,Amesbury,Essex,Gr.4,163,3,2,14,6,1,0,137,1.84%,1.23%,8.59%,3.68%,0.61%,0.00%,84.05%
0007,Amesbury,Essex,Gr.5,181,1,5,16,8,1,0,150,0.55%,2.76%,8.84%,4.42%,0.55%,0.00%,82.87%
0007,Amesbury,Essex,Gr.6,162,4,2,18,10,0,0,128,2.47%,1.23%,11.11%,6.17%,0.00%,0.00%,79.01%
0007,Amesbury,Essex,Gr.7,156,3,4,11,5,0,1,132,1.92%,2.56%,7.05%,3.21%,0.00%,0.64%,84.62%
0007,Amesbury,Essex,Gr.8,169,6,0,21,4,0,1,137,3.55%,0.00%,12.43%,2.37%,0.00%,0.59%,81.07%
0007,Amesbury,Essex,Gr.9,126,2,0,9,7,0,0,108,1.59%,0.00%,7.14%,5.56%,0.00%,0.00%,85.71%
0007,Amesbury,Essex,Gr.10,137,2,2,8,6,0,0,119,1.46%,1.46%,5.84%,4.38%,0.00%,0.00%,86.86%
0007,Amesbury,Essex,Gr.11,152,4,3,11,8,0,0,126,2.63%,1.97%,7.24%,5.26%,0.00%,0.00%,82.89%
0007,Amesbury,Essex,Gr.12,161,2,2,7,3,0,0,147,1.24%,1.24%,4.35%,1.86%,0.00%,0.00%,91.30%
0007,Amesbury,Essex,SPED_Beyond_Grade_12,6,0,0,0,0,0,0,6,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%
0007,Amesbury,Essex,K,134,3,0,16,3,0,0,112,2.24%,0.00%,11.94%,2.24%,0.00%,0.00%,83.58%
0007,Amesbury,Essex,PK,59,0,0,4,0,0,0,55,0.00%,0.00%,6.78%,0.00%,0.00%,0.00%,93.22%
0008,Amherst,Hampshire,Gr.1,148,14,13,33,16,0,0,72,9.46%,8.78%,22.30%,10.81%,0.00%,0.00%,48.65%
0008,Amherst,Hampshire,Gr.2,139,14,20,28,12,2,0,63,10.07%,14.39%,20.14%,8.63%,1.44%,0.00%,45.32%
0008,Amherst,Hampshire,Gr.3,150,16,20,30,11,0,0,73,10.67%,13.33%,20.00%,7.33%,0.00%,0.00%,48.67%
0008,Amherst,Hampshire,Gr.4,161,20,27,30,3,0,1,80,12.42%,16.77%,18.63%,1.86%,0.00%,0.62%,49.69%
0008,Amherst,Hampshire,Gr.5,146,8,19,35,10,0,0,74,5.48%,13.01%,23.97%,6.85%,0.00%,0.00%,50.68%
0008,Amherst,Hampshire,Gr.6,168,15,16,39,11,0,0,87,8.93%,9.52%,23.21%,6.55%,0.00%,0.00%,51.79%
0008,Amherst,Hampshire,Gr.7,0,***,***,***,***,***,***,***,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0008,Amherst,Hampshire,Gr.8,0,***,***,***,***,***,***,***,N/A,N/A,N/A,N/A,N/A,N/A,N/A
