DOR Code,Municipality,Fiscal Year,General Government,Police,Fire,Other Public Safety,Education,Public Works,Human Services,Culture and Recreation,Fixed Costs,Intergovernmental Assessments,Other Expenditures,Debt Service,Total Expenditures
010,Arlington,2019,"6,136,498","8,191,760","7,565,639","503,117","65,792,139","9,077,803","1,218,442","3,894,551","28,816,899","3,272,899","33,028","16,582,686","151,085,461"
026,Belmont,2019,"8,923,717","7,006,411","5,623,612","550,924","50,138,431","6,324,537","828,031","3,254,686","8,547,462","1,836,276","19,900","4,655,051","97,709,038"
046,Brookline,2019,"12,444,751","16,738,310","15,771,245","2,074,485","116,389,275","13,321,964","2,318,926","7,353,301","59,972,119","6,656,579",0,"15,631,274","268,672,229"
176,Medford,2019,"4,584,312","13,791,821","13,498,506","1,301,949","58,680,558","12,870,245","1,293,611","2,721,043","32,798,178","10,286,228",0,"6,722,970","158,549,421"
178,Melrose,2019,"3,718,827","4,978,150","4,560,380","343,880","32,463,997","9,072,056","1,470,738","1,621,639","18,331,091","3,631,893","989,830","5,696,883","86,879,364"
189,Milton,2019,"4,462,729","7,274,406","5,657,134","614,154","50,551,792","5,045,146","573,038","2,003,642","8,503,732","3,876,553",0,"3,969,189","92,531,515"
198,Natick,2019,"12,100,299","8,052,329","9,398,580","174,946","67,522,977","7,273,669","1,884,459","3,033,627","25,053,777","1,507,563",0,"9,386,226","145,388,452"
199,Needham,2019,"8,315,446","6,630,729","8,053,946","2,386,779","78,619,687","5,486,429","1,747,253","2,485,696","29,149,912","1,389,486","556,798","9,996,903","154,819,064"
210,North Andover,2019,"4,568,242","5,105,693","5,041,999","351,341","49,857,184","5,517,037","1,198,761","1,077,111","15,783,342","606,945","852,765","5,325,697","95,286,117"
246,Reading,2019,"6,016,699","6,041,337","5,238,394","186,104","47,701,011","5,481,588","606,862","2,481,219","17,401,913","759,218","26,182","4,478,865","96,419,392"
284,Stoneham,2019,"2,728,209","4,223,967","3,380,322","789,081","30,354,467","2,671,179","597,535","1,472,984","15,735,022","1,814,909","195,387","4,488,541","68,451,603"
314,Watertown,2019,"5,233,875","9,724,629","10,415,738","23,855","48,695,534","9,482,053","1,345,444","3,638,681","33,033,733","2,661,170","4,100","6,168,042","130,426,854"
344,Winchester,2019,"7,798,467","4,827,686","4,551,327","274,465","49,974,412","8,452,015","647,889","1,959,049","17,500,519","573,680","27,900","12,993,748","109,581,157"
