ein,commonName,location,irsdate,population,incomepercapita,eqvpercapita,EIN,Tax_Year,Tax_Period_End,Form_Type_Filed,Contributions,Investment_Income,Program_Service_Revenue,Total_Revenue,Total_Expenses,Total_Assets,Total_Liabilities,Net_Assets,contribpercapita,revpercapita,expensepercapita
460777549,Bedford Citizen,Bedford,2014-07-01,14383,76027,305877,460777549,2021,202112,1,101046,0,34220,135266,127219,76827,0,76827,7.03,9.4,8.85
237246801,Carlisle Mosquito,Carlisle,1973-04-01,5237,132901,316434,237246801,2021,202107,0,81487,317,0,211614,213948,143354,21529,121825,15.56,40.41,40.85
920697644,Fig City News,Newton,2022-11-01,88923,146400,385245,920697644,2022,MA AGO PC form,https://masscharities.my.site.com/FilingSearch/s/detail/a0B4U00001ANpmkUAD,6624,0,0,9013,2994,N/D,N/D,6019,0.07,0.1,0.03
843780597,Ipswich Local News,Ipswich,2020-02-01,13785,68857,235517,843780597,2021,202112,0,181324,288,242447,424985,299518,182231,1612,180619,13.15,30.83,21.73
874640985,Lexington Observer,Lexington,2022-06-01,34454,131387,390990,874640985,2023,N/A estimates,https://docs.google.com/presentation/d/1yS2ydBaYr8r4NOdxLFud7sX5ud6B0Bq6zQJy8_8-Qd0/edit#slide=id.g11a7a6660d9_0_17,43564,N/D,N/D,157032,156981,N/D,N/D,N/D,1.26,4.56,4.56
882367192,Marblehead Current,Marblehead,2022-06-01,20441,94092,340458,882367192,2022,N/A estimates,https://marbleheadcurrent.org/wp-content/uploads/2023/11/2022-Current-Annual-Report-7.pdf,31077,N/D,17207,153348,76314,N/D,N/D,N/D,1.52,7.5,3.73
862407296,New Bedford Light,New Bedford,2021-06-01,101079,18858,68734,862407296,2021,202112,0,993896,0,0,993896,313326,680570,0,680570,9.83,9.83,3.1
473575404,Otis Observer,Otis,2015-05-01,1634,35226,403378,473575404,2022,MA AGO PC form,https://masscharities.my.site.com/FilingSearch/s/detail/a0B4U00001CLpOAUA1,22715,0,0,22715,23375,N/D,N/D,13969,13.9,13.9,14.31
043568232,Sheffield Times,Sheffield,2008-12-01,3327,36561,215683,43568232,2020,202012,1,24481,3,6314,37398,35108,10030,0,10030,7.36,11.24,10.55
871248884,Your Arlington,Arlington,2021-10-01,46308,65927,276303,871248884,2023,N/A estimates,Google Drive,45000,500,0,75000,67000,N/D,N/D,30000,0.97,1.62,1.45
