commonName,website,irsdate,population,location,state,EIN,Tax_Year,Tax_Period_End,Form_Type_Filed,Contributions,Investment_Income,Program_Service_Revenue,Total_Revenue,Total_Expenses,Total_Assets,Net_Assets,contribpercapita,revpercapita,expensepercapita
AfroLA,https://afrolanews.org/,2023-05-01,3822238,ERROR: could not fetch latest filing data,0.0,0.0,0.0
Ashland.news,https://ashland.news/,2022-08-01,21285,ERROR: could not fetch latest filing data,0.0,0.0,0.0
ecoRI News,https://ecori.org/,2009-11-01,189563,Providence,RI,264267233,2021,202112,0,216499,498,22345,242910,238650,337789,337789,1.066,0.003,0.118
Austin Monitor,https://www.austinmonitor.com/,2014-12-01,947447,Austin,TX,463398438,2021,202112,0,277259,0,172660,450078,433148,119637,85597,0.213,0.0,0.182
Asheville Watchdog,https://avlwatchdog.org/,2020-05-01,93776,Asheville,NC,850614521,2021,202112,1,98833,0,0,98833,26488,90419,90419,2.155,0.0,0.0
Arizona Luminaria,https://azluminaria.org/,2022-01-01,546574,Tucson,AZ,872217945,2021,202112,1,173470,0,0,174320,70131,104189,104189,0.37,0.0,0.0
Bedford Citizen,https://www.thebedfordcitizen.org/,2014-07-01,14123,Bedford,MA,460777549,2021,202112,1,101046,0,34220,135266,127219,76827,76827,14.311,0.0,2.423
Belt Magazine,https://beltmag.com/,2018-06-01,361607,Cleveland,OH,475386846,2021,202112,1,110778,0,30880,141658,126575,48120,48120,0.559,0.0,0.085
Berkeleyside,https://www.berkeleyside.org/,2020-01-01,118950,Berkeley,CA,843448887,2021,202112,0,3080193,0,569090,3671033,3718600,1452372,1305273,1.699,0.0,4.784
Big If True,https://streetlightnews.org/,2018-11-01,694800,ERROR: could not fetch latest filing data,0.0,0.0,0.0
Billy Penn at WHYY,https://billypenn.com/,1959-02-01,1567258,Philadelphia,PA,231438083,2021,202106,0,31813729,354575,14744042,48783739,37584084,67419873,57110425,0.129,0.226,9.408
Boulder Reporting Lab,https://boulderreportinglab.org/,2022-04-01,105485,Boulder,CO,871232586,2021,202112,0,237053,0,0,237053,33268,203785,203785,1.916,0.0,0.0
