commonName,website,irsdate,population,location,state,EIN,Tax_Year,Tax_Period_End,Form_Type_Filed,Contributions,Investment_Income,Program_Service_Revenue,Total_Revenue,Total_Expenses,Total_Assets,Net_Assets,contribpercapita,revpercapita,expensepercapita
VT Digger,https://vtdigger.com/,2/1/11,44595,Montpelier,VT,271553931,2021,202112,0,2784738,4110,584088,3372936,2766167,3627259,3430468,62.445,75.635,62.029
Montana Free Press,https://montanafreepress.org/,5/1/19,33885,Helena,MT,475237719,2021,202112,0,925155,58,0,925213,936289,1395111,1346831,27.303,27.305,27.631
Berkeleyside,https://www.berkeleyside.org/,1/1/20,118950,Berkeley,CA,843448887,2021,202112,0,3080193,0,569090,3671033,3718600,1452372,1305273,25.895,30.862,31.262
Mountain State Spotlight,https://mountainstatespotlight.org/,11/1/21,47129,Charleston,WV,851154363,2021,202112,0,1166792,0,0,1166792,591695,714001,678441,24.757,24.757,12.555
Billy Penn at WHYY,https://billypenn.com/,2/1/59,1567258,Philadelphia,PA,231438083,2021,202106,0,31813729,354575,14744042,48783739,37584084,67419873,57110425,20.299,31.127,23.981
Carlisle Mosquito,https://www.carlislemosquito.org/,4/1/73,5237,Carlisle,MA,237246801,2021,202107,0,81487,317,0,211614,213948,143354,121825,15.56,40.407,40.853
Otis Observer,https://otisobserver.com/,5/1/15,1634,Otis,MA,473575404,2022,MA AGO PC form,https://masscharities.my.site.com/FilingSearch/s/detail/a0B4U00001CLpOAUA1,22715,0,0,22715,23375,N/D,13969,13.901,13.901,14.305
Ipswich Local News,https://thelocalnews.news/,2/1/20,13785,Ipswich,MA,843780597,2021,202112,0,181324,288,242447,424985,299518,182231,180619,13.154,30.83,21.728
Searchlight New Mexico,https://searchlightnm.org/,4/1/18,89008,Santa Fe,NM,813234552,2021,202112,0,1079860,859,0,1080972,1052847,846961,786709,12.132,12.145,11.829
New Bedford Light,https://newbedfordlight.org/,6/1/21,100682,New Bedford,MA,862407296,2021,202112,0,993896,0,0,993896,313326,680570,680570,9.872,9.872,3.112
Carolina Public Press,https://carolinapublicpress.org/,4/1/14,93776,Asheville,NC,460801080,2021,202112,0,779056,754,2000,794749,625517,504941,497341,8.308,8.475,6.67
Gig Harbor Now,https://www.gigharbornow.org/,10/1/21,12484,Gig Harbor,WA,861636609,2021,202112,0,93715,0,0,93715,24315,69400,69400,7.507,7.507,1.948
