commonName,legalName,website,location,state,newengland
Advocate Media - Dallas,,https://advocatemag.com,Dallas,TX,non-YA
Alameda Post,,https://alamedapost.com,Alameda,CA,non-YA
Amjambo Africa!,,https://amjamboafrica.com,Portland,ME,non-YA
Amplify Utah,,https://amplifyutah.org,Salt Lake City,UT,non-YA
Ark Valley Voice,,https://arkvalleyvoice.com,Salida,CO,non-YA
Austin Monitor,,https://austinmonitor.com,Austin,TX,non-YA
AustinTalks,,https://austintalks.org,Chicago,IL,non-YA
Austin Vida,,https://austinvida.com,Austin,TX,non-YA
Austonia,,https://austonia.com,Austin,TX,non-YA
Baltimore Beat,,https://baltimorebeat.com,Baltimore,MD,non-YA
Baltimore Brew,,https://baltimorebrew.com,Baltimore,MD,non-YA
Bayou Brief,,https://bayoubrief.com,New Orleans,LA,non-YA
BenitoLink,,https://benitolink.com,Hollister,CA,non-YA
Birmingham Watch,,https://birminghamwatch.org,Birmingham,AL,non-YA
Black Girl in the CLE,,https://Blackgirlincle.com,Cleveland,OH,non-YA
Block Club Chicago,,https://blockclubchi.org,Chicago,IL,non-YA
Bloomfield Information Project,,https://bloomfieldinfo.org,Bloomfield,NJ,non-YA
Bolts,,https://Boltsmag.org,Washington,DC,non-YA
Borderless Magazine,,https://borderlessmag.org,Chicago,IL,non-YA
Borderzine,,https://borderzine.com,El Paso,TX,non-YA
Boyle Heights Beat,,https://boyleheightsbeat.com,Los Angeles,CA,non-YA
Breckenridge Texan,,https://breckenridgetexan.com,Breckenridge,TX,non-YA
Bridge,,https://bridgemi.com,Ann Arbor,MI,non-YA
Broad Street Review,,https://broadstreetreview.com,Philadelphia,PA,non-YA
California Health Report,,https://calhealthreport.org,Los Angeles,CA,non-YA
CalMatters,,https://calmatters.org,Sacramento,CA,non-YA
Calo News,,https://calo.org,Los Angeles,CA,non-YA
CatchLight,,https://catchlight.io,San Francisco,CA,non-YA
"Central Current, The",,https://centralcurrent.org,Syracuse,NY,non-YA
Chicago Reporter,,https://chicagoreporter.com,Chicago,IL,non-YA
Chico Sol,,https://chicosol.org,Chico,CA,non-YA
Cicero Independiente,,https://ciceroindependiente.com,Cicero,IL,non-YA
City Bureau,,https://citybureau.org,Chicago,IL,non-YA
City Limits,,https://citylimits.org,New York,NY,non-YA
CivicLex,,https://civiclex.org,Lexintgon,KY,non-YA
CivicStory,,https://civicstory.org,Summit,NJ,non-YA
Honolulu Civil Beat,,https://civilbeat.org,Honolulu,HI,non-YA
Coastal Review Online,,https://coastalreview.org,Newport,NC,non-YA
Coda Story,,https://codastory.com,Coda,GA,non-YA
Colorado Newsline,,https://coloradonewsline.com,Denver,CO,non-YA
The Colorado Sun,,https://coloradosun.com,Denver,CO,non-YA
Colorado Times Recorder,,https://coloradotimesrecorder.com,Denver,CO,non-YA
Columbia Insight,,https://columbiainsight.org,Hood River,OR,non-YA
